Date,Price,Open,High,Low,Vol.,Change %
2018-11-05,"1,640.39","1,644.88","1,650.91","1,637.75",1.49B,-1.11%
2018-11-06,"1,659.35","1,646.42","1,663.37","1,646.21",1.34B,1.16%
2018-11-07,"1,652.43","1,662.41","1,679.04","1,645.33",1.68B,-0.42%
2018-11-08,"1,681.25","1,677.43","1,687.68","1,675.72",1.54B,1.74%
2018-11-09,"1,672.98","1,680.54","1,686.84","1,670.51",1.45B,-0.49%
2018-11-12,"1,671.95","1,663.89","1,677.00","1,659.33",1.23B,-0.06%
2018-11-13,"1,638.45","1,644.89","1,644.89","1,619.82",1.61B,-2.00%
2018-11-14,"1,641.26","1,640.98","1,649.97","1,637.59",1.43B,0.17%
2018-11-15,"1,638.97","1,631.18","1,639.49","1,627.92",1.50B,-0.14%
2018-11-16,"1,629.30","1,640.75","1,645.77","1,627.78",1.42B,-0.59%
2018-11-19,"1,637.61","1,627.96","1,640.73","1,627.96",1.29B,0.51%
2018-11-20,"1,625.67","1,621.90","1,631.25","1,618.69",1.43B,-0.73%
2018-11-21,"1,615.89","1,602.75","1,618.67","1,598.54",1.39B,-0.60%
2018-11-22,"1,628.96","1,620.17","1,630.39","1,614.01",1.20B,0.81%
2018-11-26,"1,632.20","1,627.96","1,635.91","1,623.06",1.34B,0.20%
2018-11-27,"1,644.16","1,643.16","1,647.45","1,635.98",1.33B,0.73%
2018-11-28,"1,653.66","1,649.10","1,654.79","1,642.28",1.39B,0.58%
2018-11-29,"1,659.47","1,667.16","1,671.73","1,659.47",1.30B,0.35%
2018-11-30,"1,667.45","1,660.11","1,669.95","1,660.05",1.82B,0.48%
2018-12-03,"1,689.05","1,687.77","1,696.14","1,682.61",1.34B,1.30%
2018-12-04,"1,649.20","1,685.72","1,686.69","1,648.95",1.55B,-2.36%
2018-12-05,"1,640.49","1,625.42","1,645.25","1,623.30",1.46B,-0.53%
2018-12-06,"1,610.60","1,629.45","1,633.64","1,599.92",1.51B,-1.82%
2018-12-07,"1,620.45","1,621.13","1,625.36","1,607.65",1.37B,0.61%
2018-12-10,"1,589.81","1,596.96","1,599.50","1,586.99",1.38B,-1.89%
2018-12-11,"1,575.31","1,592.71","1,592.71","1,572.33",1.48B,-0.91%
2018-12-12,"1,606.61","1,589.44","1,608.49","1,587.91",1.48B,1.99%
2018-12-13,"1,616.65","1,615.43","1,623.37","1,609.90",1.33B,0.62%
2018-12-14,"1,592.16","1,609.93","1,614.93","1,590.48",1.87B,-1.51%
2018-12-17,"1,594.20","1,592.70","1,602.29","1,590.97",1.36B,0.13%
2018-12-18,"1,562.51","1,575.74","1,579.65","1,562.51",1.63B,-1.99%
2018-12-19,"1,556.15","1,560.82","1,564.18","1,546.99",1.74B,-0.41%
2018-12-20,"1,517.16","1,544.42","1,550.93","1,512.11",1.82B,-2.51%
2018-12-21,"1,488.19","1,509.15","1,509.83","1,479.23",2.07B,-1.91%
2018-12-25,"1,415.55","1,460.65","1,460.65","1,412.90",1.72B,-4.88%
2018-12-26,"1,431.47","1,425.01","1,443.87","1,408.89",1.39B,1.12%
2018-12-27,"1,501.63","1,460.21","1,508.46","1,459.78",1.58B,4.90%
2018-12-28,"1,494.09","1,490.71","1,499.61","1,486.31",1.20B,-0.50%
2019-01-04,"1,471.16","1,468.42","1,473.11","1,446.48",1.55B,-1.53%
2019-01-07,"1,512.53","1,499.42","1,521.48","1,497.97",1.42B,2.81%
2019-01-08,"1,518.43","1,520.93","1,529.80","1,515.23",1.55B,0.39%
